Pos,Pts,Team name,Best,2nd best,Provenance
74,97,Dirty spikes,43 (97) Bye Bye,58 (0) Mars Attaque,Québec
75,92,Paix et Sérénité,17 (92) La Flotte,,Rimouski
76,91,KomeBak,44 (91) Coup de Foudre,,"Sherbrooke,Montréal"
77,91,Citrons pressés *,44 (91) Coup de Foudre,,St-Jean-sur-Richelieu
78,91,Pick-ups,44 (91) Bye Bye,,Trois-Rivières
79,86,CPX,45 (86) Bye Bye,61 (0) Mars Attaque,Québec
80,86,Licornes,45 (86) Coup de Foudre,,St-Jean-sur-Richelieu
81,84,Pas-te Toast,18 (84) Bonne annee,,Ottawa
82,80,Va-Comme-J’te-Pousse,46 (80) Movember,75 (0) Mars Attaque,Québec
83,80,Why not coconut,46 (80) Coup de Foudre,,Sherbrooke
84,75,Belles gueules,47 (75) Coup de Foudre,,St-Jean-sur-Richelieu
85,70,Masterchief,48 (70) Coup de Foudre,,Sherbrooke
86,62,MoFOS,21 (62) Bonne annee,,Ottawa
87,55,Match and mix,22 (55) La Flotte,,"Sherbrooke,Montréal"
88,55,Fence Post,22 (55) Bonne annee,,Ottawa
89,51,Medu,52 (51) Bye Bye,,Montréal
90,50,Tree Huckers,20 (50) Mars Attaque,2 (0) Fun E nuF,Moncton
91,50,Pouliches volantes,6 (50) Fun E nuF,,Rimouski
92,50,Uma Bazooka,93 (50) Mars Attaque,,Québec
93,49,Schweddy Discs,23 (49) Bonne annee,,Ottawa
94,49,Subasko,23 (49) La Flotte,,Baie des Chaleurs
95,42,Tête dans l'cul,24 (42) Bonne annee,,Montréal
96,37,BUS,25 (37) Bonne annee,,Ottawa
97,37,Melting Pot,25 (37) La Flotte,,"Rimouski,Québec"
98,31,Bucks,26 (31) Bonne annee,,Buckingham
99,31,Might and Magic,26 (31) La Flotte,,La Pocatière
100,25,Atomes crochus,27 (25) La Flotte,,"Rimouski,Québec"
101,25,Sockeyed,27 (25) Bonne annee,,Ottawa
102,15,Cyclones,29 (15) Bonne annee,,Gatineau
103,0,Mammouths laineux,92 (0) Mars Attaque,,Québec-Rimouski
104,0,Mr Freeze,84 (0) Mars Attaque,,Québec
105,0,Poilus,69 (0) Mars Attaque,,Quebec
106,0,Disco planes,103 (0) Mars Attaque,,Montreal
107,0,Jo lies,38 (0) Mars Attaque,,Quebec
108,0,Couvercle de plastique,83 (0) Mars Attaque,,Québec
109,0,Alizé,78 (0) Mars Attaque,9 (0) Fun E nuF,Amqui
110,0,Zestes,96 (0) Mars Attaque,,Montréal
111,0,UMCE,12 (0) Fun E nuF,,Edmundston
112,0,Style libre,91 (0) Mars Attaque,,Montréal
113,0,Pits pits,104 (0) Mars Attaque,,Montréal
114,0,Notorious slugs,4 (0) Fun E nuF,,Fredericton
115,0,Cobra Kai,49 (0) Mars Attaque,,Québec
116,0,Rats De Swompe,97 (0) Mars Attaque,,Montréal
117,0,Team Great Parking,7 (0) Fun E nuF,,Moncton
118,0,Charettes de plastique,90 (0) Mars Attaque,,Québec
119,0,Chinook Old School,41 (0) Mars Attaque,,Québec
120,0,Steve French,17 (0) Mars Attaque,1 (0) Fun E nuF,Fredericton
121,0,Stéréo,100 (0) Mars Attaque,,Sherbrooke
122,0,Les 109,99 (0) Mars Attaque,,Quebec
123,0,Chapo Poilu,85 (0) Mars Attaque,,Québec
124,0,Diskobol,48 (0) Mars Attaque,,Québec
125,0,Wolfpack,16 (0) Fun E nuF,,St-John
126,0,Zazzle,63 (0) Mars Attaque,5 (0) Fun E nuF,Moncton
127,0,Nussan Family,73 (0) Mars Attaque,,Québec
128,0,Weedeaters,39 (0) Mars Attaque,,Québec
129,0,Nordiques,95 (0) Mars Attaque,,Québec
130,0,Maritime Mercs,88 (0) Mars Attaque,,all over
131,0,Rocco,54 (0) Mars Attaque,,Québec
132,0,Mean Machine,86 (0) Mars Attaque,,Québec
133,0,UNB,13 (0) Fun E nuF,,Fredericton
134,0,Pick-up AJJUQ,89 (0) Mars Attaque,,Partout
135,0,Power Geekers,101 (0) Mars Attaque,,Québec
136,0,Ninja Subs,22 (0) Mars Attaque,,Québec
137,0,Brodie's team,44 (0) Mars Attaque,,Québec
138,0,Freez Machines,55 (0) Mars Attaque,,Québec
139,0,Anarchy,14 (0) Fun E nuF,,St-John
140,0,Greengos,72 (0) Mars Attaque,,Québec
141,0,Promus,98 (0) Mars Attaque,,Québec
142,0,Myrmidons,66 (0) Mars Attaque,,"Trois-Rivières,Alma"
143,0,OrdéHum,29 (0) Mars Attaque,,Québec
144,0,Bleu Marin,71 (0) Mars Attaque,11 (0) Fun E nuF,Gaspé
145,0,Light Weight Team,68 (0) Mars Attaque,,Québec
146,0,Tortues rapides,80 (0) Mars Attaque,15 (0) Fun E nuF,"Moncton,Fredericton,Edmundston"
147,0,Jeundz,31 (0) Mars Attaque,,Quebec
148,0,Patriotes,102 (0) Mars Attaque,,"Sherbrooke,Québec"
149,0,Hammocks,76 (0) Mars Attaque,,Québec
150,0,Machines Gump,87 (0) Mars Attaque,,Québec
151,0,Jersey Scores,79 (0) Mars Attaque,,Québec
152,0,Colle à dentier,82 (0) Mars Attaque,,Québec
153,0,SoSi Team,77 (0) Mars Attaque,,Québec
154,0,Mitaines,62 (0) Mars Attaque,,Québec
