Pos,Pts,Team name,Best,2nd best,Provenance
60,291,Lemon Drop,8 (291) La Flotte,,Québec
61,273,Nordet,49 (156) Bye Bye,21 (117) La Flotte,Rimouski
62,242,Robot Rock,33 (242) Movember,,Montréal
63,218,Delta Force,12 (218) Bonne annee,,Sherbrooke
64,218,Mad Ployes,12 (218) La Flotte,3 (0) Fun E nuF,Edmundston
65,217,Mofos,37 (217) Coup de Foudre,,Ottawa
66,211,Double zebras,38 (211) Bye Bye,70 (0) Mars Attaque,"Trois-Rivières,Québec"
67,204,Saïmiris,13 (204) Oktober Disk,,St-Jean-sur-Richelieu
68,200,Moby disk,40 (200) Bye Bye,,Montréal
69,194,Team You-Hou *,41 (194) Coup de Foudre,,St-Jean-sur-Richelieu
70,189,Cocktail,42 (189) Bye Bye,51 (0) Mars Attaque,Québec
71,184,Dirty spikes,43 (184) Bye Bye,58 (0) Mars Attaque,Québec
72,179,Citrons pressés *,44 (179) Coup de Foudre,,St-Jean-sur-Richelieu
73,179,KomeBak,44 (179) Coup de Foudre,,"Sherbrooke,Montréal"
74,179,Pick-ups,44 (179) Bye Bye,,Trois-Rivières
75,176,Charrue,20 (176) La Flotte,10 (0) Fun E nuF,Gaspé
76,174,CPX,45 (174) Bye Bye,61 (0) Mars Attaque,Québec
77,174,Licornes,45 (174) Coup de Foudre,,St-Jean-sur-Richelieu
78,169,Va-Comme-J’te-Pousse,46 (169) Movember,75 (0) Mars Attaque,Québec
79,169,Why not coconut,46 (169) Coup de Foudre,,Sherbrooke
80,166,Squall,16 (166) La Flotte,8 (0) Fun E nuF,"Caplan,Baie des Chaleurs"
81,166,El Toro,16 (166) Bonne annee,,Trois-Rivières
82,165,Belles gueules,47 (165) Coup de Foudre,,St-Jean-sur-Richelieu
83,160,Masterchief,48 (160) Coup de Foudre,,Sherbrooke
84,155,Paix et Sérénité,17 (155) La Flotte,,Rimouski
85,145,Pas-te Toast,18 (145) Bonne annee,,Ottawa
86,143,Medu,52 (143) Bye Bye,,Montréal
87,117,MoFOS,21 (117) Bonne annee,,Ottawa
88,109,Match and mix,22 (109) La Flotte,,"Sherbrooke,Montréal"
89,109,Fence Post,22 (109) Bonne annee,,Ottawa
90,101,Schweddy Discs,23 (101) Bonne annee,,Ottawa
91,101,Subasko,23 (101) La Flotte,,Baie des Chaleurs
92,93,Tête dans l'cul,24 (93) Bonne annee,,Montréal
93,86,BUS,25 (86) Bonne annee,,Ottawa
94,86,Melting Pot,25 (86) La Flotte,,"Rimouski,Québec"
95,79,Bucks,26 (79) Bonne annee,,Buckingham
96,79,Might and Magic,26 (79) La Flotte,,La Pocatière
97,72,Atomes crochus,27 (72) La Flotte,,"Rimouski,Québec"
98,72,Sockeyed,27 (72) Bonne annee,,Ottawa
99,59,Cyclones,29 (59) Bonne annee,,Gatineau
100,50,Tree Huckers,20 (50) Mars Attaque,2 (0) Fun E nuF,Moncton
101,50,Pouliches volantes,6 (50) Fun E nuF,,Rimouski
102,50,Uma Bazooka,93 (50) Mars Attaque,,Québec
103,0,Mammouths laineux,92 (0) Mars Attaque,,Québec-Rimouski
104,0,Mr Freeze,84 (0) Mars Attaque,,Québec
105,0,Team Great Parking,7 (0) Fun E nuF,,Moncton
106,0,Disco planes,103 (0) Mars Attaque,,Montreal
107,0,Jo lies,38 (0) Mars Attaque,,Quebec
108,0,Couvercle de plastique,83 (0) Mars Attaque,,Québec
109,0,Chinook Old School,41 (0) Mars Attaque,,Québec
110,0,Alizé,9 (0) Fun E nuF,78 (0) Mars Attaque,Amqui
111,0,Zestes,96 (0) Mars Attaque,,Montréal
112,0,UMCE,12 (0) Fun E nuF,,Edmundston
113,0,Style libre,91 (0) Mars Attaque,,Montréal
114,0,Pits pits,104 (0) Mars Attaque,,Montréal
115,0,Brodie's team,44 (0) Mars Attaque,,Québec
116,0,Notorious slugs,4 (0) Fun E nuF,,Fredericton
117,0,Cobra Kai,49 (0) Mars Attaque,,Québec
118,0,Rats De Swompe,97 (0) Mars Attaque,,Montréal
119,0,Poilus,69 (0) Mars Attaque,,Quebec
120,0,Charettes de plastique,90 (0) Mars Attaque,,Québec
121,0,Zazzle,5 (0) Fun E nuF,63 (0) Mars Attaque,Moncton
122,0,Steve French,1 (0) Fun E nuF,17 (0) Mars Attaque,Fredericton
123,0,Stéréo,100 (0) Mars Attaque,,Sherbrooke
124,0,Freez Machines,55 (0) Mars Attaque,,Québec
125,0,Les 109,99 (0) Mars Attaque,,Quebec
126,0,Chapo Poilu,85 (0) Mars Attaque,,Québec
127,0,Diskobol,48 (0) Mars Attaque,,Québec
128,0,Wolfpack,16 (0) Fun E nuF,,St-John
129,0,Nussan Family,73 (0) Mars Attaque,,Québec
130,0,Weedeaters,39 (0) Mars Attaque,,Québec
131,0,Nordiques,95 (0) Mars Attaque,,Québec
132,0,Maritime Mercs,88 (0) Mars Attaque,,all over
133,0,Rocco,54 (0) Mars Attaque,,Québec
134,0,OrdéHum,29 (0) Mars Attaque,,Québec
135,0,UNB,13 (0) Fun E nuF,,Fredericton
136,0,Pick-up AJJUQ,89 (0) Mars Attaque,,Partout
137,0,Mean Machine,86 (0) Mars Attaque,,Québec
138,0,Power Geekers,101 (0) Mars Attaque,,Québec
139,0,Colle à dentier,82 (0) Mars Attaque,,Québec
140,0,Ninja Subs,22 (0) Mars Attaque,,Québec
141,0,Anarchy,14 (0) Fun E nuF,,St-John
142,0,Greengos,72 (0) Mars Attaque,,Québec
143,0,Promus,98 (0) Mars Attaque,,Québec
144,0,Myrmidons,66 (0) Mars Attaque,,"Trois-Rivières,Alma"
145,0,SoSi Team,77 (0) Mars Attaque,,Québec
146,0,Bleu Marin,11 (0) Fun E nuF,71 (0) Mars Attaque,Gaspé
147,0,Light Weight Team,68 (0) Mars Attaque,,Québec
148,0,Tortues rapides,15 (0) Fun E nuF,80 (0) Mars Attaque,"Moncton,Fredericton,Edmundston"
149,0,Jeundz,31 (0) Mars Attaque,,Quebec
150,0,Patriotes,102 (0) Mars Attaque,,"Sherbrooke,Québec"
151,0,Hammocks,76 (0) Mars Attaque,,Québec
152,0,Machines Gump,87 (0) Mars Attaque,,Québec
153,0,Jersey Scores,79 (0) Mars Attaque,,Québec
154,0,Mitaines,62 (0) Mars Attaque,,Québec
