Pos,Pts,Team name,Best,2nd best,Provenance
57,191,Team You-Hou,14 (117) Oktober Disk,42 (74) Movember,St-Jean-sur-Richelieu
58,156,Robot Rock,33 (156) Movember,,Montréal
59,150,Delta Force,12 (150) Bonne annee,,Sherbrooke
60,150,Mad Ployes,12 (150) La Flotte,3 (0) Fun E nuF,Edmundston
61,133,Saïmiris,13 (133) Oktober Disk,,St-Jean-sur-Richelieu
62,128,Bretzels,16 (90) Oktober Disk,48 (38) Movember,Montréal
63,115,Mofos,37 (115) Coup de Foudre,,Ottawa
64,106,Double zebras,38 (106) Bye Bye,70 (0) Mars Attaque,"Trois-Rivières,Québec"
65,98,Charrue,20 (98) La Flotte,10 (0) Fun E nuF,Gaspé
66,92,Grues d’acajou,43 (67) Movember,51 (25) Bye Bye,Saguenay
67,92,Wannabus,46 (49) Bye Bye,47 (43) Movember,Montréal
68,90,Squall,16 (90) La Flotte,8 (0) Fun E nuF,"Caplan,Baie des Chaleurs"
69,90,El Toro,16 (90) Bonne annee,,Trois-Rivières
70,89,Moby disk,40 (89) Bye Bye,,Montréal
71,82,Team You-Hou *,41 (82) Coup de Foudre,,St-Jean-sur-Richelieu
72,78,Paix et Sérénité,17 (78) La Flotte,,Rimouski
73,74,Cocktail,42 (74) Bye Bye,51 (0) Mars Attaque,Québec
74,73,Nordet,21 (40) La Flotte,49 (33) Bye Bye,Rimouski
75,67,Pas-te Toast,18 (67) Bonne annee,,Ottawa
76,67,Dirty spikes,43 (67) Bye Bye,58 (0) Mars Attaque,Québec
77,61,Citrons pressés *,44 (61) Coup de Foudre,,St-Jean-sur-Richelieu
78,61,KomeBak,44 (61) Coup de Foudre,,"Sherbrooke,Montréal"
79,61,Pick-ups,44 (61) Bye Bye,,Trois-Rivières
80,54,CPX,45 (54) Bye Bye,61 (0) Mars Attaque,Québec
81,54,Licornes,45 (54) Coup de Foudre,,St-Jean-sur-Richelieu
82,50,Tree Huckers,20 (50) Mars Attaque,2 (0) Fun E nuF,Moncton
83,50,Pouliches volantes,6 (50) Fun E nuF,,Rimouski
84,50,Uma Bazooka,93 (50) Mars Attaque,,Québec
85,49,Va-Comme-J’te-Pousse,46 (49) Movember,75 (0) Mars Attaque,Québec
86,49,Why not coconut,46 (49) Coup de Foudre,,Sherbrooke
87,43,Belles gueules,47 (43) Coup de Foudre,,St-Jean-sur-Richelieu
88,40,MoFOS,21 (40) Bonne annee,,Ottawa
89,38,Masterchief,48 (38) Coup de Foudre,,Sherbrooke
90,33,Match and mix,22 (33) La Flotte,,"Sherbrooke,Montréal"
91,33,Fence Post,22 (33) Bonne annee,,Ottawa
92,26,Schweddy Discs,23 (26) Bonne annee,,Ottawa
93,26,Subasko,23 (26) La Flotte,,Baie des Chaleurs
94,21,Medu,52 (21) Bye Bye,,Montréal
95,21,Tête dans l'cul,24 (21) Bonne annee,,Montréal
96,16,BUS,25 (16) Bonne annee,,Ottawa
97,16,Melting Pot,25 (16) La Flotte,,"Rimouski,Québec"
98,12,Bucks,26 (12) Bonne annee,,Buckingham
99,12,Might and Magic,26 (12) La Flotte,,La Pocatière
100,8,Atomes crochus,27 (8) La Flotte,,"Rimouski,Québec"
101,8,Sockeyed,27 (8) Bonne annee,,Ottawa
102,4,Cyclones,29 (4) Bonne annee,,Gatineau
103,0,Mammouths laineux,92 (0) Mars Attaque,,Québec-Rimouski
104,0,Mr Freeze,84 (0) Mars Attaque,,Québec
105,0,Team Great Parking,7 (0) Fun E nuF,,Moncton
106,0,Disco planes,103 (0) Mars Attaque,,Montreal
107,0,Jo lies,38 (0) Mars Attaque,,Quebec
108,0,Couvercle de plastique,83 (0) Mars Attaque,,Québec
109,0,Chinook Old School,41 (0) Mars Attaque,,Québec
110,0,Alizé,9 (0) Fun E nuF,78 (0) Mars Attaque,Amqui
111,0,Zestes,96 (0) Mars Attaque,,Montréal
112,0,UMCE,12 (0) Fun E nuF,,Edmundston
113,0,Style libre,91 (0) Mars Attaque,,Montréal
114,0,Pits pits,104 (0) Mars Attaque,,Montréal
115,0,Brodie's team,44 (0) Mars Attaque,,Québec
116,0,Notorious slugs,4 (0) Fun E nuF,,Fredericton
117,0,Cobra Kai,49 (0) Mars Attaque,,Québec
118,0,Rats De Swompe,97 (0) Mars Attaque,,Montréal
119,0,Poilus,69 (0) Mars Attaque,,Quebec
120,0,Charettes de plastique,90 (0) Mars Attaque,,Québec
121,0,Zazzle,5 (0) Fun E nuF,63 (0) Mars Attaque,Moncton
122,0,Steve French,1 (0) Fun E nuF,17 (0) Mars Attaque,Fredericton
123,0,Stéréo,100 (0) Mars Attaque,,Sherbrooke
124,0,Freez Machines,55 (0) Mars Attaque,,Québec
125,0,Les 109,99 (0) Mars Attaque,,Quebec
126,0,Chapo Poilu,85 (0) Mars Attaque,,Québec
127,0,Diskobol,48 (0) Mars Attaque,,Québec
128,0,Wolfpack,16 (0) Fun E nuF,,St-John
129,0,Nussan Family,73 (0) Mars Attaque,,Québec
130,0,Weedeaters,39 (0) Mars Attaque,,Québec
131,0,Nordiques,95 (0) Mars Attaque,,Québec
132,0,Maritime Mercs,88 (0) Mars Attaque,,all over
133,0,Rocco,54 (0) Mars Attaque,,Québec
134,0,OrdéHum,29 (0) Mars Attaque,,Québec
135,0,UNB,13 (0) Fun E nuF,,Fredericton
136,0,Pick-up AJJUQ,89 (0) Mars Attaque,,Partout
137,0,Mean Machine,86 (0) Mars Attaque,,Québec
138,0,Power Geekers,101 (0) Mars Attaque,,Québec
139,0,Colle à dentier,82 (0) Mars Attaque,,Québec
140,0,Ninja Subs,22 (0) Mars Attaque,,Québec
141,0,Anarchy,14 (0) Fun E nuF,,St-John
142,0,Greengos,72 (0) Mars Attaque,,Québec
143,0,Promus,98 (0) Mars Attaque,,Québec
144,0,Myrmidons,66 (0) Mars Attaque,,"Trois-Rivières,Alma"
145,0,SoSi Team,77 (0) Mars Attaque,,Québec
146,0,Bleu Marin,11 (0) Fun E nuF,71 (0) Mars Attaque,Gaspé
147,0,Light Weight Team,68 (0) Mars Attaque,,Québec
148,0,Tortues rapides,15 (0) Fun E nuF,80 (0) Mars Attaque,"Moncton,Fredericton,Edmundston"
149,0,Jeundz,31 (0) Mars Attaque,,Quebec
150,0,Patriotes,102 (0) Mars Attaque,,"Sherbrooke,Québec"
151,0,Hammocks,76 (0) Mars Attaque,,Québec
152,0,Machines Gump,87 (0) Mars Attaque,,Québec
153,0,Jersey Scores,79 (0) Mars Attaque,,Québec
154,0,Mitaines,62 (0) Mars Attaque,,Québec
