Pos,Pts,Team name,Rg,Best,2nd best,3rd best
64,309,Mad Ployes,Edmundston,12 (309) La Flotte,3 (0) Fun E nuF,26 (0) Mars Attaque
65,288,Saïmiris,St-Jean-sur-Richelieu,13 (288) Oktober Disk,,
66,278,Mofos,Ottawa,37 (278) Coup de Foudre,,
67,268,Double zebras,"Trois-Rivières,Québec",38 (268) Bye Bye,70 (0) Mars Attaque,
68,248,Moby disk,Montréal,40 (248) Bye Bye,,
69,239,Team You-Hou *,St-Jean-sur-Richelieu,41 (239) Coup de Foudre,,
70,234,Squall,"Caplan,Baie des Chaleurs",16 (234) La Flotte,8 (0) Fun E nuF,50 (0) Mars Attaque
71,234,El Toro,Trois-Rivières,16 (234) Bonne annee,,
72,229,Cocktail,Québec,42 (229) Bye Bye,51 (0) Mars Attaque,
73,223,Charrue,Gaspé,20 (223) La Flotte,10 (0) Fun E nuF,60 (0) Mars Attaque
74,220,Dirty spikes,Québec,43 (220) Bye Bye,58 (0) Mars Attaque,
75,217,Paix et Sérénité,Rimouski,17 (217) La Flotte,,
76,211,Citrons pressés *,St-Jean-sur-Richelieu,44 (211) Coup de Foudre,,
77,211,KomeBak,"Sherbrooke,Montréal",44 (211) Coup de Foudre,,
78,211,Pick-ups,Trois-Rivières,44 (211) Bye Bye,,
79,203,CPX,Québec,45 (203) Bye Bye,61 (0) Mars Attaque,
80,203,Licornes,St-Jean-sur-Richelieu,45 (203) Coup de Foudre,,
81,202,Pas-te Toast,Ottawa,18 (202) Bonne annee,,
82,194,Va-Comme-J’te-Pousse,Québec,46 (194) Movember,75 (0) Mars Attaque,
83,194,Why not coconut,Sherbrooke,46 (194) Coup de Foudre,,
84,186,Belles gueules,St-Jean-sur-Richelieu,47 (186) Coup de Foudre,,
85,178,Masterchief,Sherbrooke,48 (178) Coup de Foudre,,
86,160,MoFOS,Ottawa,21 (160) Bonne annee,,
87,149,Medu,Montréal,52 (149) Bye Bye,,
88,148,Match and mix,"Sherbrooke,Montréal",22 (148) La Flotte,,
89,148,Fence Post,Ottawa,22 (148) Bonne annee,,
90,136,Schweddy Discs,Ottawa,23 (136) Bonne annee,,
91,136,Subasko,Baie des Chaleurs,23 (136) La Flotte,,
92,125,Tête dans l'cul,Montréal,24 (125) Bonne annee,,
93,114,BUS,Ottawa,25 (114) Bonne annee,,
94,114,Melting Pot,"Rimouski,Québec",25 (114) La Flotte,,
95,104,Bucks,Buckingham,26 (104) Bonne annee,,
96,104,Might and Magic,La Pocatière,26 (104) La Flotte,,
97,95,Atomes crochus,"Rimouski,Québec",27 (95) La Flotte,,
98,95,Sockeyed,Ottawa,27 (95) Bonne annee,,
99,78,Cyclones,Gatineau,29 (78) Bonne annee,,
100,50,Tree Huckers,Moncton,20 (50) Mars Attaque,2 (0) Fun E nuF,
101,50,Pouliches volantes,Rimouski,6 (50) Fun E nuF,,
102,50,Uma Bazooka,Québec,93 (50) Mars Attaque,,
103,0,Mammouths laineux,Québec-Rimouski,92 (0) Mars Attaque,,
104,0,Mr Freeze,Québec,84 (0) Mars Attaque,,
105,0,Team Great Parking,Moncton,7 (0) Fun E nuF,,
106,0,Disco planes,Montreal,103 (0) Mars Attaque,,
107,0,Jo lies,Quebec,38 (0) Mars Attaque,,
108,0,Couvercle de plastique,Québec,83 (0) Mars Attaque,,
109,0,Chinook Old School,Québec,41 (0) Mars Attaque,,
110,0,Alizé,Amqui,9 (0) Fun E nuF,78 (0) Mars Attaque,
111,0,Zestes,Montréal,96 (0) Mars Attaque,,
112,0,UMCE,Edmundston,12 (0) Fun E nuF,,
113,0,Style libre,Montréal,91 (0) Mars Attaque,,
114,0,Pits pits,Montréal,104 (0) Mars Attaque,,
115,0,Brodie's team,Québec,44 (0) Mars Attaque,,
116,0,Notorious slugs,Fredericton,4 (0) Fun E nuF,,
117,0,Cobra Kai,Québec,49 (0) Mars Attaque,,
118,0,Rats De Swompe,Montréal,97 (0) Mars Attaque,,
119,0,Poilus,Quebec,69 (0) Mars Attaque,,
120,0,Charettes de plastique,Québec,90 (0) Mars Attaque,,
121,0,Zazzle,Moncton,5 (0) Fun E nuF,63 (0) Mars Attaque,
122,0,Steve French,Fredericton,1 (0) Fun E nuF,17 (0) Mars Attaque,
123,0,Stéréo,Sherbrooke,100 (0) Mars Attaque,,
124,0,Freez Machines,Québec,55 (0) Mars Attaque,,
125,0,Les 109,Quebec,99 (0) Mars Attaque,,
126,0,Chapo Poilu,Québec,85 (0) Mars Attaque,,
127,0,Diskobol,Québec,48 (0) Mars Attaque,,
128,0,Wolfpack,St-John,16 (0) Fun E nuF,,
129,0,Nussan Family,Québec,73 (0) Mars Attaque,,
130,0,Weedeaters,Québec,39 (0) Mars Attaque,,
131,0,Nordiques,Québec,95 (0) Mars Attaque,,
132,0,Maritime Mercs,all over,88 (0) Mars Attaque,,
133,0,Rocco,Québec,54 (0) Mars Attaque,,
134,0,OrdéHum,Québec,29 (0) Mars Attaque,,
135,0,UNB,Fredericton,13 (0) Fun E nuF,,
136,0,Pick-up AJJUQ,Partout,89 (0) Mars Attaque,,
137,0,Mean Machine,Québec,86 (0) Mars Attaque,,
138,0,Power Geekers,Québec,101 (0) Mars Attaque,,
139,0,Colle à dentier,Québec,82 (0) Mars Attaque,,
140,0,Ninja Subs,Québec,22 (0) Mars Attaque,,
141,0,Anarchy,St-John,14 (0) Fun E nuF,,
142,0,Greengos,Québec,72 (0) Mars Attaque,,
143,0,Promus,Québec,98 (0) Mars Attaque,,
144,0,Myrmidons,"Trois-Rivières,Alma",66 (0) Mars Attaque,,
145,0,SoSi Team,Québec,77 (0) Mars Attaque,,
146,0,Bleu Marin,Gaspé,11 (0) Fun E nuF,71 (0) Mars Attaque,
147,0,Light Weight Team,Québec,68 (0) Mars Attaque,,
148,0,Tortues rapides,"Moncton,Fredericton,Edmundston",15 (0) Fun E nuF,80 (0) Mars Attaque,
149,0,Jeundz,Quebec,31 (0) Mars Attaque,,
150,0,Patriotes,"Sherbrooke,Québec",102 (0) Mars Attaque,,
151,0,Hammocks,Québec,76 (0) Mars Attaque,,
152,0,Machines Gump,Québec,87 (0) Mars Attaque,,
153,0,Jersey Scores,Québec,79 (0) Mars Attaque,,
154,0,Mitaines,Québec,62 (0) Mars Attaque,,
