Pos,Pts,Team name,Best,2nd best,Provenance
34,579,Ons'Kasse,25 (302) Bye Bye,28 (277) Movember,"Sherbrooke,Montréal"
35,563,FantasDisc 4,31 (305) Coup de Foudre,6 (258) Oktober Disk,"Sherbrooke,Québec"
36,562,Trick or Treat,23 (320) Coup de Foudre,33 (242) Bye Bye,Québec
37,533,Marcel Leboeuf,27 (285) Coup de Foudre,32 (248) Movember,"Longueuil,Montréal"
38,515,Ta mère,37 (267) Movember,32 (248) Bye Bye,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay"
39,504,Oktopus,30 (262) Bye Bye,33 (242) Coup de Foudre,Sherbrooke
40,464,AuRéoLeS,34 (235) Coup de Foudre,35 (229) Bye Bye,Montréal
41,452,Ani's chicks,35 (229) Coup de Foudre,36 (223) Movember,Montréal
42,434,Morues,35 (229) Movember,39 (205) Bye Bye,Gaspé
43,428,Piranhas,36 (223) Coup de Foudre,39 (205) Movember,Sherbrooke
44,416,DisTrakFUL,7 (237) Oktober Disk,44 (179) Movember,Repentigny
45,415,Disklock,40 (250) Coup de Foudre,47 (165) Bye Bye,Trois-Rivières
46,411,Connect 4,28 (277) Coup de Foudre,15 (134) La Flotte,"Sherbrooke,Montréal"
47,406,Mess Nationale,2 (406) Bonne annee,,Montréal
48,403,Citrons pressés,9 (203) Oktober Disk,40 (200) Movember,St-Jean-sur-Richelieu
49,373,Booms,42 (189) Coup de Foudre,15 (184) Oktober Disk,"Sherbrooke,Montréal,Saguenay"
50,351,Family Feud,3 (351) Bonne annee,,Ottawa
51,334,Wannabus,46 (169) Bye Bye,47 (165) Movember,Montréal
52,332,Team You-Hou,42 (189) Movember,14 (143) Oktober Disk,St-Jean-sur-Richelieu
53,331,Grues d’acajou,43 (184) Movember,51 (147) Bye Bye,Saguenay
54,312,G's Pot,4 (312) Bonne annee,,Guelph
55,311,Nostalgia,24 (311) Bye Bye,,Montréal
56,311,Gushmu,24 (311) Bye Bye,37 (0) Mars Attaque,Québec
57,285,Bretzels,48 (160) Movember,16 (125) Oktober Disk,Montréal
58,282,Watch the Thrown,5 (282) Bonne annee,,Ottawa
59,268,Wernesgruner,8 (219) Oktober Disk,28 (49) Bonne annee,"Saguenay-Lac-St-Jean,Sherbrooke,Québec"
60,244,Nordet,49 (156) Bye Bye,21 (88) La Flotte,Rimouski
61,242,Robot Rock,33 (242) Movember,,Montréal
62,219,Lemon Drop,8 (219) La Flotte,,Québec
63,217,Mofos,37 (217) Coup de Foudre,,Ottawa
64,211,Double zebras,38 (211) Bye Bye,70 (0) Mars Attaque,"Trois-Rivières,Québec"
65,200,Moby disk,40 (200) Bye Bye,,Montréal
66,194,Team You-Hou *,41 (194) Coup de Foudre,,St-Jean-sur-Richelieu
67,189,Cocktail,42 (189) Bye Bye,51 (0) Mars Attaque,Québec
68,184,Dirty spikes,43 (184) Bye Bye,58 (0) Mars Attaque,Québec
69,179,KomeBak,44 (179) Coup de Foudre,,"Sherbrooke,Montréal"
70,179,Citrons pressés *,44 (179) Coup de Foudre,,St-Jean-sur-Richelieu
71,179,Pick-ups,44 (179) Bye Bye,,Trois-Rivières
72,174,CPX,45 (174) Bye Bye,61 (0) Mars Attaque,Québec
73,174,Licornes,45 (174) Coup de Foudre,,St-Jean-sur-Richelieu
74,169,Va-Comme-J’te-Pousse,46 (169) Movember,75 (0) Mars Attaque,Québec
75,169,Why not coconut,46 (169) Coup de Foudre,,Sherbrooke
76,165,Belles gueules,47 (165) Coup de Foudre,,St-Jean-sur-Richelieu
77,164,Delta Force,12 (164) Bonne annee,,Sherbrooke
78,164,Mad Ployes,12 (164) La Flotte,26 (0) Mars Attaque,Edmundston
79,160,Masterchief,48 (160) Coup de Foudre,,Sherbrooke
80,153,Saïmiris,13 (153) Oktober Disk,,St-Jean-sur-Richelieu
81,145,Charrue,20 (145) La Flotte,60 (0) Mars Attaque,Gaspé
82,143,Medu,52 (143) Bye Bye,,Montréal
83,125,Squall,16 (125) La Flotte,50 (0) Mars Attaque,"Baie des Chaleurs,Caplan"
84,125,El Toro,16 (125) Bonne annee,,Trois-Rivières
85,117,Paix et Sérénité,17 (117) La Flotte,,Rimouski
86,109,Pas-te Toast,18 (109) Bonne annee,,Ottawa
87,88,MoFOS,21 (88) Bonne annee,,Ottawa
88,82,Match and mix,22 (82) La Flotte,,"Sherbrooke,Montréal"
89,82,Fence Post,22 (82) Bonne annee,,Ottawa
90,76,Schweddy Discs,23 (76) Bonne annee,,Ottawa
91,76,Subasko,23 (76) La Flotte,,Baie des Chaleurs
92,70,Tête dans l'cul,24 (70) Bonne annee,,Montréal
93,65,BUS,25 (65) Bonne annee,,Ottawa
94,65,Melting Pot,25 (65) La Flotte,,"Rimouski,Québec"
95,59,Bucks,26 (59) Bonne annee,,Buckingham
96,59,Might and Magic,26 (59) La Flotte,,La Pocatière
97,54,Atomes crochus,27 (54) La Flotte,,"Rimouski,Québec"
98,54,Sockeyed,27 (54) Bonne annee,,Ottawa
99,50,Tree Huckers,20 (50) Mars Attaque,2 (0) Fun E nuF,Moncton
100,50,Pouliches volantes,6 (50) Fun E nuF,,Rimouski
101,50,Uma Bazooka,93 (50) Mars Attaque,,Québec
102,45,Cyclones,29 (45) Bonne annee,,Gatineau
103,0,Mammouths laineux,92 (0) Mars Attaque,,Québec-Rimouski
104,0,Mr Freeze,84 (0) Mars Attaque,,Québec
105,0,Poilus,69 (0) Mars Attaque,,Quebec
106,0,Disco planes,103 (0) Mars Attaque,,Montreal
107,0,Jo lies,38 (0) Mars Attaque,,Quebec
108,0,Couvercle de plastique,83 (0) Mars Attaque,,Québec
109,0,Alizé,78 (0) Mars Attaque,9 (0) Fun E nuF,Amqui
110,0,Zestes,96 (0) Mars Attaque,,Montréal
111,0,UMCE,12 (0) Fun E nuF,,Edmundston
112,0,Style libre,91 (0) Mars Attaque,,Montréal
113,0,Pits pits,104 (0) Mars Attaque,,Montréal
114,0,Notorious slugs,4 (0) Fun E nuF,,Fredericton
115,0,Cobra Kai,49 (0) Mars Attaque,,Québec
116,0,Rats De Swompe,97 (0) Mars Attaque,,Montréal
117,0,Team Great Parking,7 (0) Fun E nuF,,Moncton
118,0,Charettes de plastique,90 (0) Mars Attaque,,Québec
119,0,Chinook Old School,41 (0) Mars Attaque,,Québec
120,0,Steve French,17 (0) Mars Attaque,1 (0) Fun E nuF,Fredericton
121,0,Stéréo,100 (0) Mars Attaque,,Sherbrooke
122,0,Les 109,99 (0) Mars Attaque,,Quebec
123,0,Chapo Poilu,85 (0) Mars Attaque,,Québec
124,0,Diskobol,48 (0) Mars Attaque,,Québec
125,0,Wolfpack,16 (0) Fun E nuF,,St-John
126,0,Zazzle,63 (0) Mars Attaque,5 (0) Fun E nuF,Moncton
127,0,Nussan Family,73 (0) Mars Attaque,,Québec
128,0,Weedeaters,39 (0) Mars Attaque,,Québec
129,0,Nordiques,95 (0) Mars Attaque,,Québec
130,0,Maritime Mercs,88 (0) Mars Attaque,,all over
131,0,Rocco,54 (0) Mars Attaque,,Québec
132,0,Mean Machine,86 (0) Mars Attaque,,Québec
133,0,UNB,13 (0) Fun E nuF,,Fredericton
134,0,Pick-up AJJUQ,89 (0) Mars Attaque,,Partout
135,0,Power Geekers,101 (0) Mars Attaque,,Québec
136,0,Ninja Subs,22 (0) Mars Attaque,,Québec
137,0,Brodie's team,44 (0) Mars Attaque,,Québec
138,0,Freez Machines,55 (0) Mars Attaque,,Québec
139,0,Anarchy,14 (0) Fun E nuF,,St-John
140,0,Greengos,72 (0) Mars Attaque,,Québec
141,0,Promus,98 (0) Mars Attaque,,Québec
142,0,Myrmidons,66 (0) Mars Attaque,,"Trois-Rivières,Alma"
143,0,OrdéHum,29 (0) Mars Attaque,,Québec
144,0,Bleu Marin,71 (0) Mars Attaque,11 (0) Fun E nuF,Gaspé
145,0,Light Weight Team,68 (0) Mars Attaque,,Québec
146,0,Tortues rapides,80 (0) Mars Attaque,15 (0) Fun E nuF,"Moncton,Fredericton,Edmundston"
147,0,Jeundz,31 (0) Mars Attaque,,Quebec
148,0,Patriotes,102 (0) Mars Attaque,,"Sherbrooke,Québec"
149,0,Hammocks,76 (0) Mars Attaque,,Québec
150,0,Machines Gump,87 (0) Mars Attaque,,Québec
151,0,Jersey Scores,79 (0) Mars Attaque,,Québec
152,0,Colle à dentier,82 (0) Mars Attaque,,Québec
153,0,SoSi Team,77 (0) Mars Attaque,,Québec
154,0,Mitaines,62 (0) Mars Attaque,,Québec
