Pos,Pts,Team name,Rg,Best,2nd best
74,97,Dirty spikes,Québec,43 (97) Bye Bye,58 (0) Mars Attaque
75,92,Paix et Sérénité,Rimouski,17 (92) La Flotte,
76,91,KomeBak,"Sherbrooke,Montréal",44 (91) Coup de Foudre,
77,91,Citrons pressés *,St-Jean-sur-Richelieu,44 (91) Coup de Foudre,
78,91,Pick-ups,Trois-Rivières,44 (91) Bye Bye,
79,86,CPX,Québec,45 (86) Bye Bye,61 (0) Mars Attaque
80,86,Licornes,St-Jean-sur-Richelieu,45 (86) Coup de Foudre,
81,84,Pas-te Toast,Ottawa,18 (84) Bonne annee,
82,80,Va-Comme-J’te-Pousse,Québec,46 (80) Movember,75 (0) Mars Attaque
83,80,Why not coconut,Sherbrooke,46 (80) Coup de Foudre,
84,75,Belles gueules,St-Jean-sur-Richelieu,47 (75) Coup de Foudre,
85,70,Masterchief,Sherbrooke,48 (70) Coup de Foudre,
86,62,MoFOS,Ottawa,21 (62) Bonne annee,
87,55,Match and mix,"Sherbrooke,Montréal",22 (55) La Flotte,
88,55,Fence Post,Ottawa,22 (55) Bonne annee,
89,51,Medu,Montréal,52 (51) Bye Bye,
90,50,Tree Huckers,Moncton,20 (50) Mars Attaque,2 (0) Fun E nuF
91,50,Pouliches volantes,Rimouski,6 (50) Fun E nuF,
92,50,Uma Bazooka,Québec,93 (50) Mars Attaque,
93,49,Schweddy Discs,Ottawa,23 (49) Bonne annee,
94,49,Subasko,Baie des Chaleurs,23 (49) La Flotte,
95,42,Tête dans l'cul,Montréal,24 (42) Bonne annee,
96,37,BUS,Ottawa,25 (37) Bonne annee,
97,37,Melting Pot,"Rimouski,Québec",25 (37) La Flotte,
98,31,Bucks,Buckingham,26 (31) Bonne annee,
99,31,Might and Magic,La Pocatière,26 (31) La Flotte,
100,25,Atomes crochus,"Rimouski,Québec",27 (25) La Flotte,
101,25,Sockeyed,Ottawa,27 (25) Bonne annee,
102,15,Cyclones,Gatineau,29 (15) Bonne annee,
103,0,Mammouths laineux,Québec-Rimouski,92 (0) Mars Attaque,
104,0,Mr Freeze,Québec,84 (0) Mars Attaque,
105,0,Poilus,Quebec,69 (0) Mars Attaque,
106,0,Disco planes,Montreal,103 (0) Mars Attaque,
107,0,Jo lies,Quebec,38 (0) Mars Attaque,
108,0,Couvercle de plastique,Québec,83 (0) Mars Attaque,
109,0,Alizé,Amqui,78 (0) Mars Attaque,9 (0) Fun E nuF
110,0,Zestes,Montréal,96 (0) Mars Attaque,
111,0,UMCE,Edmundston,12 (0) Fun E nuF,
112,0,Style libre,Montréal,91 (0) Mars Attaque,
113,0,Pits pits,Montréal,104 (0) Mars Attaque,
114,0,Notorious slugs,Fredericton,4 (0) Fun E nuF,
115,0,Cobra Kai,Québec,49 (0) Mars Attaque,
116,0,Rats De Swompe,Montréal,97 (0) Mars Attaque,
117,0,Team Great Parking,Moncton,7 (0) Fun E nuF,
118,0,Charettes de plastique,Québec,90 (0) Mars Attaque,
119,0,Chinook Old School,Québec,41 (0) Mars Attaque,
120,0,Steve French,Fredericton,17 (0) Mars Attaque,1 (0) Fun E nuF
121,0,Stéréo,Sherbrooke,100 (0) Mars Attaque,
122,0,Les 109,Quebec,99 (0) Mars Attaque,
123,0,Chapo Poilu,Québec,85 (0) Mars Attaque,
124,0,Diskobol,Québec,48 (0) Mars Attaque,
125,0,Wolfpack,St-John,16 (0) Fun E nuF,
126,0,Zazzle,Moncton,63 (0) Mars Attaque,5 (0) Fun E nuF
127,0,Nussan Family,Québec,73 (0) Mars Attaque,
128,0,Weedeaters,Québec,39 (0) Mars Attaque,
129,0,Nordiques,Québec,95 (0) Mars Attaque,
130,0,Maritime Mercs,all over,88 (0) Mars Attaque,
131,0,Rocco,Québec,54 (0) Mars Attaque,
132,0,Mean Machine,Québec,86 (0) Mars Attaque,
133,0,UNB,Fredericton,13 (0) Fun E nuF,
134,0,Pick-up AJJUQ,Partout,89 (0) Mars Attaque,
135,0,Power Geekers,Québec,101 (0) Mars Attaque,
136,0,Ninja Subs,Québec,22 (0) Mars Attaque,
137,0,Brodie's team,Québec,44 (0) Mars Attaque,
138,0,Freez Machines,Québec,55 (0) Mars Attaque,
139,0,Anarchy,St-John,14 (0) Fun E nuF,
140,0,Greengos,Québec,72 (0) Mars Attaque,
141,0,Promus,Québec,98 (0) Mars Attaque,
142,0,Myrmidons,"Trois-Rivières,Alma",66 (0) Mars Attaque,
143,0,OrdéHum,Québec,29 (0) Mars Attaque,
144,0,Bleu Marin,Gaspé,71 (0) Mars Attaque,11 (0) Fun E nuF
145,0,Light Weight Team,Québec,68 (0) Mars Attaque,
146,0,Tortues rapides,"Moncton,Fredericton,Edmundston",80 (0) Mars Attaque,15 (0) Fun E nuF
147,0,Jeundz,Quebec,31 (0) Mars Attaque,
148,0,Patriotes,"Sherbrooke,Québec",102 (0) Mars Attaque,
149,0,Hammocks,Québec,76 (0) Mars Attaque,
150,0,Machines Gump,Québec,87 (0) Mars Attaque,
151,0,Jersey Scores,Québec,79 (0) Mars Attaque,
152,0,Colle à dentier,Québec,82 (0) Mars Attaque,
153,0,SoSi Team,Québec,77 (0) Mars Attaque,
154,0,Mitaines,Québec,62 (0) Mars Attaque,
