Pos,Official,Pts,Team name,Best,2nd best,Provenance
55,58 (3),270,Nordiscs,6 (139) La Viree,13 (131) La Flotte,
56,60 (4),268,Force toilette,5 (268) La Flotte,49 (0) Mars Attaque,
57,62 (5),268,ECU 23,5 (268) Bonne annee,,
58,77 (19),250,Hot Wheels,1 (250) La Viree,,
59,78 (19),250,Dion chante noël,1 (250) Attache t'ajjuq,,
60,54 (-6),243,Battleship,37 (133) Coup de Foudre,15 (110) Oktober Disk,
61,65 (4),242,TC 23,6 (242) Bonne annee,,
62,59 (-3),234,Farfadets,11 (155) La Flotte,57 (79) Movember,
63,55 (-8),234,Patriotes,14 (120) Oktober Disk,40 (114) Movember,
64,61 (-3),229,Dynamite,32 (167) Movember,21 (62) Bonne annee,
65,57 (-8),228,Frisbeenomiale,38 (126) Bye Bye,42 (102) Coup de Foudre,
66,63 (-3),223,Martine joue au frisbee,36 (139) Movember,18 (84) Oktober Disk,
67,67 (0),220,Sharknado,7 (220) Oktober Disk,,
68,64 (-4),219,Lebœuf Saloon,37 (133) Bye Bye,45 (86) Coup de Foudre,
69,71 (2),210,Cougars,5 (105) CEQU4 Carleton,5 (105) CEQU4 Gaspe,
70,66 (-4),205,Sony Discmans,41 (108) Coup de Foudre,43 (97) Bye Bye,
71,68 (-3),201,G'S Pot,8 (201) Bonne annee,,
72,70 (-2),200,Mockingbirds,28 (200) Movember,,
73,88 (15),188,Votre équipe du CA,2 (188) Attache t'ajjuq,,
74,89 (15),188,Ale-Mah,2 (188) La Viree,,
75,73 (-2),168,Max Power,10 (168) Bonne annee,,
76,69 (-7),167,LumberJacks,44 (91) Movember,19 (76) Bonne annee,
77,75 (-2),163,Moldus,4 (126) Victo Bowl,55 (37) Coup de Foudre,
78,79 (1),155,Tribe,11 (155) Bonne annee,,
79,95 (16),151,Morues,3 (151) CEQU4 Gaspe,,
80,96 (16),151,Bars Rayés,3 (151) CEQU4 Carleton,,
81,97 (16),151,Grues d'Acajou,3 (151) La Viree,,
82,87 (5),146,BAZOOKA,35 (146) Movember,41 (0) Mars Attaque,
83,84 (1),142,Boyz,12 (142) La Flotte,,
84,74 (-10),141,Thunderstruck,45 (86) Bye Bye,22 (55) Oktober Disk,
85,72 (-13),140,Swaggerwalk,47 (75) Coup de Foudre,49 (65) Bye Bye,
86,86 (0),135,Apocalypse,13 (70) Victo Bowl,49 (65) Coup de Foudre,
87,94 (7),128,Tire-bouchon,27 (75) Oktober Disk,9 (53) Victo Bowl,
88,76 (-12),128,Tourista,44 (91) Coup de Foudre,55 (37) Movember,
89,102 (13),126,Rogers perchés,4 (126) CEQU4 Gaspe,,
90,103 (13),126,Bleu Marine,4 (126) CEQU4 Carleton,,
91,104 (13),126,Frisbeenator,4 (126) Attache t'ajjuq,,
92,105 (13),126,Sasquatch! Hunters,4 (126) La Viree,,
93,80 (-13),125,Mohicans,47 (75) Bye Bye,37 (50) Bonne annee,
94,91 (-3),120,White noise,14 (120) La Flotte,115 (0) Mars Attaque,
95,85 (-10),117,Qrinqué,46 (80) Coup de Foudre,25 (37) Oktober Disk,
96,81 (-15),113,Bangarang,46 (80) Bye Bye,56 (33) Coup de Foudre,
97,82 (-15),112,Quidam,48 (70) Movember,54 (42) Coup de Foudre,
98,83 (-15),111,DiskTrackFUL,50 (60) Bye Bye,52 (51) Coup de Foudre,
99,93 (-6),110,Moving Castle,15 (110) Bonne annee,,
100,92 (-8),110,P'tits poulets,6 (89) Victo Bowl,59 (21) Movember,
101,106 (5),105,Touskis,5 (105) Victo Bowl,,
102,90 (-12),105,Nordisques,48 (70) Coup de Foudre,11 (35) Victo Bowl,
103,107 (4),105,Team Smashbros,5 (105) Attache t'ajjuq,59 (0) Mars Attaque,
104,98 (-6),101,Benny and the Jets,16 (101) Bonne annee,,
105,100 (-5),92,J'passe partout,17 (92) Oktober Disk,,
106,101 (-5),92,Squeezlock,17 (92) Bonne annee,,
107,99 (-8),90,Bons jacks,7 (75) Victo Bowl,29 (15) Oktober Disk,
108,112 (4),89,Némo,6 (89) CEQU4 Carleton,,
109,113 (4),89,Bye avec Souper,6 (89) Attache t'ajjuq,,
110,108 (-2),76,Révolution de l'empire de la roche royale,19 (76) Oktober Disk,,
111,110 (-1),75,Satyres,7 (75) La Viree,80 (0) Mars Attaque,
112,116 (4),75,Nain de noël,7 (75) Attache t'ajjuq,,
113,117 (4),63,Machines,8 (63) Attache t'ajjuq,,
114,118 (4),63,Éponges,8 (63) La Viree,,
115,119 (4),63,Capitaines,8 (63) Victo Bowl,83 (0) Mars Attaque,
116,111 (-5),56,Thunder,51 (56) Coup de Foudre,19 (0) Victo Bowl,
117,121 (4),53,On arrivait pas a s'entendre,9 (53) Attache t'ajjuq,,
118,109 (-9),48,El Gros Club,10 (43) Victo Bowl,63 (5) Movember,
119,124 (5),43,Poussins pas de tête,10 (43) Attache t'ajjuq,,
120,114 (-6),40,Oeufs poachés,12 (27) Victo Bowl,61 (13) Movember,
121,120 (-1),37,Adios Pantalones,25 (37) Bonne annee,,
122,126 (4),35,Équipe Épique,11 (35) Attache t'ajjuq,102 (0) Mars Attaque,
123,127 (4),27,Disc-men,12 (27) Attache t'ajjuq,,
124,115 (-9),25,Sangria Ultimate Club,58 (25) Movember,36 (0) Bonne annee,
125,122 (-3),25,Young guns,27 (25) Bonne annee,35 (0) Mars Attaque,
126,128 (2),20,Zebra zone,13 (20) Attache t'ajjuq,105 (0) Mars Attaque,
127,129 (2),13,Pick up Laurentides,14 (13) Victo Bowl,,
128,123 (-5),9,Kamikaze,62 (9) Movember,,
129,131 (2),7,Ma mère va être contente que je descende,15 (7) Victo Bowl,,
130,125 (-5),1,Coquins,64 (1) Movember,,
131,133 (2),1,Club École,16 (1) Victo Bowl,,
132,145 (13),0,Spineux,109 (0) Mars Attaque,,
133,146 (13),0,Weedeaters - Qc,37 (0) Mars Attaque,,
134,137 (3),0,Rue Cockburn,18 (0) Victo Bowl,,
135,147 (12),0,Mr Freeze,96 (0) Mars Attaque,,
136,148 (12),0,Pirates,110 (0) Mars Attaque,,
137,149 (12),0,Disquetaires,116 (0) Mars Attaque,,
138,150 (12),0,Maigres en soute,64 (0) Mars Attaque,,
139,135 (-4),0,Club des Musclés,40 (0) Bonne annee,,
140,151 (11),0,Fraises Poilues,99 (0) Mars Attaque,,
141,152 (11),0,Disctruction,66 (0) Mars Attaque,,
142,153 (11),0,Morgan Freemans,100 (0) Mars Attaque,,
143,141 (-2),0,Lumineurs,46 (0) Bonne annee,,
144,132 (-12),0,Liens,36 (0) Oktober Disk,,
145,154 (9),0,Floppy Disc,104 (0) Mars Attaque,,
146,155 (9),0,Marmottes Volantes,62 (0) Mars Attaque,,
147,156 (9),0,Mongoose,92 (0) Mars Attaque,,
148,157 (9),0,Honey Badger,50 (0) Mars Attaque,,
149,158 (9),0,Teddy bears,54 (0) Mars Attaque,,
150,138 (-12),0,St-Charles,112 (0) Mars Attaque,20 (0) Victo Bowl,
151,159 (8),0,Bang-A-Rang,85 (0) Mars Attaque,,
152,160 (8),0,Frégates,84 (0) Mars Attaque,,
153,161 (8),0,Scoober Divers,88 (0) Mars Attaque,,
154,139 (-15),0,LSD,45 (0) Bonne annee,,
155,142 (-13),0,Leftovers,48 (0) Bonne annee,,
156,162 (6),0,Frisbee Crushers,76 (0) Mars Attaque,,
157,163 (6),0,R-D-Hell,95 (0) Mars Attaque,,
158,164 (6),0,Left Shark,93 (0) Mars Attaque,,
159,165 (6),0,Petits bonnets,90 (0) Mars Attaque,,
160,130 (-30),0,Octopus,35 (0) Oktober Disk,,
161,166 (5),0,NinJardin,70 (0) Mars Attaque,,
162,136 (-26),0,Jaws,40 (0) Oktober Disk,,
163,167 (4),0,J'aime ton corps,113 (0) Mars Attaque,,
164,168 (4),0,Goats,86 (0) Mars Attaque,,
165,169 (4),0,Mirego,71 (0) Mars Attaque,,
166,170 (4),0,Violet Volvox,111 (0) Mars Attaque,,
167,171 (4),0,New Disk on the Block,107 (0) Mars Attaque,,
168,172 (4),0,Johnny rutabagas,69 (0) Mars Attaque,,
169,143 (-26),0,Juridisques,22 (0) Victo Bowl,,
170,173 (3),0,Double Zebra,74 (0) Mars Attaque,,
171,174 (3),0,Mean Machine,97 (0) Mars Attaque,,
172,140 (-32),0,Spider pigs,21 (0) Victo Bowl,,
173,175 (2),0,Just catch it,81 (0) Mars Attaque,,
174,176 (2),0,Rockstar,79 (0) Mars Attaque,,
175,144 (-31),0,Flickatibis,47 (0) Bonne annee,,
176,177 (1),0,Hammock,65 (0) Mars Attaque,,
177,178 (1),0,Alain Térieur,94 (0) Mars Attaque,,
178,179 (1),0,Laurie-Ann,98 (0) Mars Attaque,,
179,180 (1),0,Fous du Nord,108 (0) Mars Attaque,,
180,181 (1),0,Cobra Kai,34 (0) Mars Attaque,,
181,182 (1),0,Discobols,40 (0) Mars Attaque,,
182,134 (-48),0,Benchwarmers,114 (0) Mars Attaque,38 (0) Oktober Disk,
183,183 (0),0,Disco pimp,87 (0) Mars Attaque,,
184,184 (0),0,Bisons,77 (0) Mars Attaque,,
185,185 (0),0,Free Runners,89 (0) Mars Attaque,,
186,186 (0),0,Funners Gonna Fun,36 (0) Mars Attaque,,
187,187 (0),0,Jolies,46 (0) Mars Attaque,,
188,188 (0),0,Cold Fx,63 (0) Mars Attaque,,
189,189 (0),0,Disc Catchers,106 (0) Mars Attaque,,
