Pos,Pts,Team name,Best,2nd best,Provenance,Official
25,855,Grosses,16 (439) Coup de Foudre,17 (416) Movember,,22 (-3)
26,824,Connect4,4 (476) Oktober Disk,7 (348) Bonne annee,,26 (0)
27,709,Carl Carmoni,5 (429) Oktober Disk,24 (280) Coup de Foudre,,29 (2)
28,707,Commando,19 (373) Coup de Foudre,21 (334) Movember,,25 (-3)
29,658,Plan B,18 (394) Movember,25 (264) Bye Bye,,27 (-2)
30,649,Evolve,21 (334) Bye Bye,22 (315) Coup de Foudre,,28 (-2)
31,614,Bleu Marin,1 (333) CEQU4 Gaspe,9 (281) La Flotte,,40 (9)
32,612,Chiefs,22 (315) Movember,23 (297) Coup de Foudre,,30 (-2)
33,581,Quarks,23 (297) Movember,27 (284) Coup de Foudre,,32 (-1)
34,566,Glenncellents,7 (348) La Flotte,3 (218) Attache t'ajjuq,,34 (0)
35,561,VTM,23 (297) Bye Bye,25 (264) Coup de Foudre,,33 (-2)
36,536,Subasko,2 (268) CEQU4 Carleton,2 (268) CEQU4 Gaspe,,50 (14)
37,533,4-Da-Win,1 (333) Victo Bowl,12 (200) Oktober Disk,,41 (4)
38,530,Zizanie,3 (530) Oktober Disk,,,51 (13)
39,530,Brûlés,3 (530) La Flotte,,,52 (13)
40,505,Arm & Hammer,8 (313) Oktober Disk,30 (192) Coup de Foudre,,36 (-4)
41,499,Weedeaters,9 (281) Oktober Disk,3 (218) Victo Bowl,,39 (-2)
42,476,Quick and Dirty,4 (476) Bonne annee,,,53 (11)
43,455,Sasquatch!,8 (313) La Flotte,5 (142) La Viree,,46 (3)
44,448,Vieux jeux,2 (268) Victo Bowl,31 (180) Bye Bye,,45 (1)
45,443,Hurakan,11 (224) Oktober Disk,28 (219) Bye Bye,,38 (-7)
46,436,hamer time,24 (280) Movember,33 (156) Bye Bye,,35 (-11)
47,436,Hermaphrodisques,6 (436) La Flotte,,,56 (9)
48,429,Force toilette,5 (429) La Flotte,49 (0) Mars Attaque,,60 (12)
49,429,ECU 23,5 (429) Bonne annee,,,62 (13)
50,396,Jackalopes,10 (251) La Flotte,34 (145) Coup de Foudre,,42 (-8)
51,386,TC 23,6 (386) Bonne annee,,,65 (14)
52,384,Bolt,30 (192) Movember,30 (192) Bye Bye,,37 (-15)
53,348,Sharknado,7 (348) Oktober Disk,,,67 (14)
54,340,Nordiscs,13 (177) La Flotte,6 (163) La Viree,,58 (4)
55,333,Hot Wheels,1 (333) La Viree,,,77 (22)
56,333,Dion chante noël,1 (333) Attache t'ajjuq,,,78 (22)
57,323,Gusto,27 (234) Movember,40 (89) Coup de Foudre,,44 (-13)
58,315,Bazooka,31 (180) Coup de Foudre,35 (135) Bye Bye,,43 (-15)
59,313,G'S Pot,8 (313) Bonne annee,,,68 (9)
60,300,The Astronauts,32 (218) Coup de Foudre,41 (82) Movember,,47 (-13)
61,294,Pisse-Minute,29 (205) Coup de Foudre,18 (89) Bonne annee,,48 (-13)
62,284,Cougars,5 (142) CEQU4 Carleton,5 (142) CEQU4 Gaspe,,71 (9)
63,282,Farfadets,11 (224) La Flotte,57 (58) Movember,,59 (-4)
64,268,Votre équipe du CA,2 (268) Attache t'ajjuq,,,88 (24)
65,268,Ale-Mah,2 (268) La Viree,,,89 (24)
66,253,Pirhanas,33 (156) Coup de Foudre,39 (97) Movember,,49 (-17)
67,252,Battleship,15 (137) Oktober Disk,37 (115) Coup de Foudre,,54 (-13)
68,251,Max Power,10 (251) Bonne annee,,,73 (5)
69,245,Patriotes,14 (156) Oktober Disk,40 (89) Movember,,55 (-14)
70,226,Frisbeenomiale,16 (120) Oktober Disk,38 (106) Bye Bye,,57 (-13)
71,224,Tribe,11 (224) Bonne annee,,,79 (8)
72,221,Dynamite,32 (168) Movember,21 (53) Bonne annee,,61 (-11)
73,219,Mockingbirds,28 (219) Movember,,,70 (-3)
74,218,Morues,3 (218) CEQU4 Gaspe,,,95 (21)
75,218,Bars Rayés,3 (218) CEQU4 Carleton,,,96 (21)
76,218,Grues d'Acajou,3 (218) La Viree,,,97 (21)
77,214,Martine joue au frisbee,36 (125) Movember,18 (89) Oktober Disk,,63 (-14)
78,200,Boyz,12 (200) La Flotte,,,84 (6)
79,188,Moldus,4 (176) Victo Bowl,55 (12) Coup de Foudre,,75 (-4)
80,176,Rogers perchés,4 (176) CEQU4 Gaspe,,,102 (22)
81,176,Bleu Marine,4 (176) CEQU4 Carleton,,,103 (22)
82,176,Frisbeenator,4 (176) Attache t'ajjuq,,,104 (22)
83,176,Sasquatch! Hunters,4 (176) La Viree,,,105 (22)
84,169,Lebœuf Saloon,37 (115) Bye Bye,45 (54) Coup de Foudre,,64 (-20)
85,156,White noise,14 (156) La Flotte,115 (0) Mars Attaque,,91 (6)
86,149,Sony Discmans,41 (82) Coup de Foudre,43 (67) Bye Bye,,66 (-20)
87,142,Touskis,5 (142) Victo Bowl,,,106 (19)
88,142,Team Smashbros,5 (142) Attache t'ajjuq,59 (0) Mars Attaque,,107 (19)
89,137,LumberJacks,19 (76) Bonne annee,44 (61) Movember,,69 (-20)
90,137,Moving Castle,15 (137) Bonne annee,,,93 (3)
91,135,BAZOOKA,35 (135) Movember,41 (0) Mars Attaque,,87 (-4)
92,120,Benny and the Jets,16 (120) Bonne annee,,,98 (6)
93,120,P'tits poulets,6 (113) Victo Bowl,28 (7) Oktober Disk,,92 (-1)
94,113,Némo,6 (113) CEQU4 Carleton,,,112 (18)
95,113,Bye avec Souper,6 (113) Attache t'ajjuq,,,113 (18)
96,111,Tire-bouchon,27 (61) Oktober Disk,9 (50) Victo Bowl,,94 (-2)
97,104,J'passe partout,17 (104) Oktober Disk,,,100 (3)
98,104,Squeezlock,17 (104) Bonne annee,,,101 (3)
99,97,Thunderstruck,45 (54) Bye Bye,22 (43) Oktober Disk,,74 (-25)
100,93,Bons jacks,7 (88) Victo Bowl,29 (5) Oktober Disk,,99 (-1)
101,93,Mohicans,37 (50) Bonne annee,47 (43) Bye Bye,,80 (-21)
102,92,Apocalypse,13 (59) Victo Bowl,49 (33) Coup de Foudre,,86 (-16)
103,88,Satyres,7 (88) La Viree,80 (0) Mars Attaque,,110 (7)
104,88,Nain de noël,7 (88) Attache t'ajjuq,,,116 (12)
105,76,Révolution de l'empire de la roche royale,19 (76) Oktober Disk,,,108 (3)
106,76,Swaggerwalk,47 (43) Coup de Foudre,49 (33) Bye Bye,,72 (-34)
107,73,Tourista,44 (61) Coup de Foudre,55 (12) Movember,,76 (-31)
108,70,Qrinqué,46 (49) Coup de Foudre,25 (21) Oktober Disk,,85 (-23)
109,68,Machines,8 (68) Attache t'ajjuq,,,117 (8)
110,68,Éponges,8 (68) La Viree,,,118 (8)
111,68,Capitaines,8 (68) Victo Bowl,83 (0) Mars Attaque,,119 (8)
112,63,Nordisques,48 (38) Coup de Foudre,11 (25) Victo Bowl,,90 (-22)
113,59,Bangarang,46 (49) Bye Bye,56 (10) Coup de Foudre,,81 (-32)
114,53,Quidam,48 (38) Movember,54 (15) Coup de Foudre,,82 (-32)
115,50,DiskTrackFUL,50 (29) Bye Bye,52 (21) Coup de Foudre,,83 (-32)
116,50,On arrivait pas a s'entendre,9 (50) Attache t'ajjuq,,,121 (5)
117,37,El Gros Club,10 (36) Victo Bowl,63 (1) Movember,,109 (-8)
118,36,Poussins pas de tête,10 (36) Attache t'ajjuq,,,124 (6)
119,25,Thunder,51 (25) Coup de Foudre,19 (0) Victo Bowl,,111 (-8)
120,25,Équipe Épique,11 (25) Attache t'ajjuq,102 (0) Mars Attaque,,126 (6)
121,21,Adios Pantalones,25 (21) Bonne annee,,,120 (-1)
122,18,Oeufs poachés,12 (16) Victo Bowl,61 (2) Movember,,114 (-8)
123,16,Disc-men,12 (16) Attache t'ajjuq,,,127 (4)
124,11,Young guns,27 (11) Bonne annee,35 (0) Mars Attaque,,122 (-2)
125,9,Zebra zone,13 (9) Attache t'ajjuq,105 (0) Mars Attaque,,128 (3)
126,6,Sangria Ultimate Club,58 (6) Movember,36 (0) Bonne annee,,115 (-11)
127,5,Pick up Laurentides,14 (5) Victo Bowl,,,129 (2)
128,2,Ma mère va être contente que je descende,15 (2) Victo Bowl,,,131 (3)
129,2,Kamikaze,62 (2) Movember,,,123 (-6)
130,1,Coquins,64 (1) Movember,,,125 (-5)
131,1,Club École,16 (1) Victo Bowl,,,133 (2)
132,0,Spineux,109 (0) Mars Attaque,,,145 (13)
133,0,Weedeaters - Qc,37 (0) Mars Attaque,,,146 (13)
134,0,Rue Cockburn,18 (0) Victo Bowl,,,137 (3)
135,0,Mr Freeze,96 (0) Mars Attaque,,,147 (12)
136,0,Pirates,110 (0) Mars Attaque,,,148 (12)
137,0,Disquetaires,116 (0) Mars Attaque,,,149 (12)
138,0,Maigres en soute,64 (0) Mars Attaque,,,150 (12)
139,0,Club des Musclés,40 (0) Bonne annee,,,135 (-4)
140,0,Fraises Poilues,99 (0) Mars Attaque,,,151 (11)
141,0,Disctruction,66 (0) Mars Attaque,,,152 (11)
142,0,Morgan Freemans,100 (0) Mars Attaque,,,153 (11)
143,0,Lumineurs,46 (0) Bonne annee,,,141 (-2)
144,0,Liens,36 (0) Oktober Disk,,,132 (-12)
145,0,Floppy Disc,104 (0) Mars Attaque,,,154 (9)
146,0,Marmottes Volantes,62 (0) Mars Attaque,,,155 (9)
147,0,Mongoose,92 (0) Mars Attaque,,,156 (9)
148,0,Honey Badger,50 (0) Mars Attaque,,,157 (9)
149,0,Teddy bears,54 (0) Mars Attaque,,,158 (9)
150,0,St-Charles,112 (0) Mars Attaque,20 (0) Victo Bowl,,138 (-12)
151,0,Bang-A-Rang,85 (0) Mars Attaque,,,159 (8)
152,0,Frégates,84 (0) Mars Attaque,,,160 (8)
153,0,Scoober Divers,88 (0) Mars Attaque,,,161 (8)
154,0,LSD,45 (0) Bonne annee,,,139 (-15)
155,0,Leftovers,48 (0) Bonne annee,,,142 (-13)
156,0,Frisbee Crushers,76 (0) Mars Attaque,,,162 (6)
157,0,R-D-Hell,95 (0) Mars Attaque,,,163 (6)
158,0,Left Shark,93 (0) Mars Attaque,,,164 (6)
159,0,Petits bonnets,90 (0) Mars Attaque,,,165 (6)
160,0,Octopus,35 (0) Oktober Disk,,,130 (-30)
161,0,NinJardin,70 (0) Mars Attaque,,,166 (5)
162,0,Jaws,40 (0) Oktober Disk,,,136 (-26)
163,0,J'aime ton corps,113 (0) Mars Attaque,,,167 (4)
164,0,Goats,86 (0) Mars Attaque,,,168 (4)
165,0,Mirego,71 (0) Mars Attaque,,,169 (4)
166,0,Violet Volvox,111 (0) Mars Attaque,,,170 (4)
167,0,New Disk on the Block,107 (0) Mars Attaque,,,171 (4)
168,0,Johnny rutabagas,69 (0) Mars Attaque,,,172 (4)
169,0,Juridisques,22 (0) Victo Bowl,,,143 (-26)
170,0,Double Zebra,74 (0) Mars Attaque,,,173 (3)
171,0,Mean Machine,97 (0) Mars Attaque,,,174 (3)
172,0,Spider pigs,21 (0) Victo Bowl,,,140 (-32)
173,0,Just catch it,81 (0) Mars Attaque,,,175 (2)
174,0,Rockstar,79 (0) Mars Attaque,,,176 (2)
175,0,Flickatibis,47 (0) Bonne annee,,,144 (-31)
176,0,Hammock,65 (0) Mars Attaque,,,177 (1)
177,0,Alain Térieur,94 (0) Mars Attaque,,,178 (1)
178,0,Laurie-Ann,98 (0) Mars Attaque,,,179 (1)
179,0,Fous du Nord,108 (0) Mars Attaque,,,180 (1)
180,0,Cobra Kai,34 (0) Mars Attaque,,,181 (1)
181,0,Discobols,40 (0) Mars Attaque,,,182 (1)
182,0,Benchwarmers,114 (0) Mars Attaque,38 (0) Oktober Disk,,134 (-48)
183,0,Disco pimp,87 (0) Mars Attaque,,,183 (0)
184,0,Bisons,77 (0) Mars Attaque,,,184 (0)
185,0,Free Runners,89 (0) Mars Attaque,,,185 (0)
186,0,Funners Gonna Fun,36 (0) Mars Attaque,,,186 (0)
187,0,Jolies,46 (0) Mars Attaque,,,187 (0)
188,0,Cold Fx,63 (0) Mars Attaque,,,188 (0)
189,0,Disc Catchers,106 (0) Mars Attaque,,,189 (0)
