Pos,Pts,Team name,Best,2nd best,Provenance,Official
106,102,El Gros Club,63 (101) Movember,10 (1) Victo Bowl,,109 (3)
107,100,Rogers perchés,4 (100) CEQU4 Gaspe,,,102 (-5)
108,100,Bleu Marine,4 (100) CEQU4 Carleton,,,103 (-5)
109,100,Frisbeenator,4 (100) Attache t'ajjuq,,,104 (-5)
110,100,Sasquatch! Hunters,4 (100) La Viree,,,105 (-5)
111,98,Coquins,64 (98) Movember,,,125 (14)
112,85,Bons jacks,29 (45) Oktober Disk,7 (40) Victo Bowl,,99 (-13)
113,76,Touskis,5 (76) Victo Bowl,,,106 (-7)
114,76,Team Smashbros,5 (76) Attache t'ajjuq,59 (0) Mars Attaque,,107 (-7)
115,65,Adios Pantalones,25 (65) Bonne annee,,,120 (5)
116,56,Némo,6 (56) CEQU4 Carleton,,,112 (-4)
117,56,Bye avec Souper,6 (56) Attache t'ajjuq,,,113 (-4)
118,54,Young guns,27 (54) Bonne annee,35 (0) Mars Attaque,,122 (4)
119,52,Satyres,7 (40) La Viree,37 (12) Oktober Disk,,110 (-9)
120,40,Nain de noël,7 (40) Attache t'ajjuq,,,116 (-4)
121,25,Machines,8 (25) Attache t'ajjuq,,,117 (-4)
122,25,Éponges,8 (25) La Viree,,,118 (-4)
123,25,Capitaines,8 (25) Victo Bowl,83 (0) Mars Attaque,,119 (-4)
124,19,Octopus,35 (19) Oktober Disk,,,130 (6)
125,15,Liens,36 (15) Oktober Disk,,,132 (7)
126,12,On arrivait pas a s'entendre,9 (12) Attache t'ajjuq,,,121 (-5)
127,8,Benchwarmers,38 (8) Oktober Disk,114 (0) Mars Attaque,,134 (7)
128,1,Club des Musclés,40 (1) Bonne annee,,,135 (7)
129,1,Jaws,40 (1) Oktober Disk,,,136 (7)
130,1,Poussins pas de tête,10 (1) Attache t'ajjuq,,,124 (-6)
131,0,Disc-men,12 (0) Attache t'ajjuq,,,127 (-4)
132,0,Spineux,109 (0) Mars Attaque,,,145 (13)
133,0,Ma mère va être contente que je descende,15 (0) Victo Bowl,,,131 (-2)
134,0,Weedeaters - Qc,37 (0) Mars Attaque,,,146 (12)
135,0,Rue Cockburn,18 (0) Victo Bowl,,,137 (2)
136,0,Mr Freeze,96 (0) Mars Attaque,,,147 (11)
137,0,Pirates,110 (0) Mars Attaque,,,148 (11)
138,0,Disquetaires,116 (0) Mars Attaque,,,149 (11)
139,0,Maigres en soute,64 (0) Mars Attaque,,,150 (11)
140,0,Fraises Poilues,99 (0) Mars Attaque,,,151 (11)
141,0,Disctruction,66 (0) Mars Attaque,,,152 (11)
142,0,Morgan Freemans,100 (0) Mars Attaque,,,153 (11)
143,0,Lumineurs,46 (0) Bonne annee,,,141 (-2)
144,0,Floppy Disc,104 (0) Mars Attaque,,,154 (10)
145,0,Marmottes Volantes,62 (0) Mars Attaque,,,155 (10)
146,0,Pick up Laurentides,14 (0) Victo Bowl,,,129 (-17)
147,0,Mongoose,92 (0) Mars Attaque,,,156 (9)
148,0,Honey Badger,50 (0) Mars Attaque,,,157 (9)
149,0,Teddy bears,54 (0) Mars Attaque,,,158 (9)
150,0,St-Charles,112 (0) Mars Attaque,20 (0) Victo Bowl,,138 (-12)
151,0,Bang-A-Rang,85 (0) Mars Attaque,,,159 (8)
152,0,Frégates,84 (0) Mars Attaque,,,160 (8)
153,0,Scoober Divers,88 (0) Mars Attaque,,,161 (8)
154,0,LSD,45 (0) Bonne annee,,,139 (-15)
155,0,Leftovers,48 (0) Bonne annee,,,142 (-13)
156,0,Frisbee Crushers,76 (0) Mars Attaque,,,162 (6)
157,0,R-D-Hell,95 (0) Mars Attaque,,,163 (6)
158,0,Left Shark,93 (0) Mars Attaque,,,164 (6)
159,0,Petits bonnets,90 (0) Mars Attaque,,,165 (6)
160,0,Zebra zone,13 (0) Attache t'ajjuq,105 (0) Mars Attaque,,128 (-32)
161,0,NinJardin,70 (0) Mars Attaque,,,166 (5)
162,0,J'aime ton corps,113 (0) Mars Attaque,,,167 (5)
163,0,Club École,16 (0) Victo Bowl,,,133 (-30)
164,0,Goats,86 (0) Mars Attaque,,,168 (4)
165,0,Mirego,71 (0) Mars Attaque,,,169 (4)
166,0,Violet Volvox,111 (0) Mars Attaque,,,170 (4)
167,0,New Disk on the Block,107 (0) Mars Attaque,,,171 (4)
168,0,Johnny rutabagas,69 (0) Mars Attaque,,,172 (4)
169,0,Juridisques,22 (0) Victo Bowl,,,143 (-26)
170,0,Double Zebra,74 (0) Mars Attaque,,,173 (3)
171,0,Mean Machine,97 (0) Mars Attaque,,,174 (3)
172,0,Spider pigs,21 (0) Victo Bowl,,,140 (-32)
173,0,Just catch it,81 (0) Mars Attaque,,,175 (2)
174,0,Rockstar,79 (0) Mars Attaque,,,176 (2)
175,0,Flickatibis,47 (0) Bonne annee,,,144 (-31)
176,0,Hammock,65 (0) Mars Attaque,,,177 (1)
177,0,Équipe Épique,11 (0) Attache t'ajjuq,102 (0) Mars Attaque,,126 (-51)
178,0,Alain Térieur,94 (0) Mars Attaque,,,178 (0)
179,0,Laurie-Ann,98 (0) Mars Attaque,,,179 (0)
180,0,Fous du Nord,108 (0) Mars Attaque,,,180 (0)
181,0,Cobra Kai,34 (0) Mars Attaque,,,181 (0)
182,0,Discobols,40 (0) Mars Attaque,,,182 (0)
183,0,Disco pimp,87 (0) Mars Attaque,,,183 (0)
184,0,Bisons,77 (0) Mars Attaque,,,184 (0)
185,0,Free Runners,89 (0) Mars Attaque,,,185 (0)
186,0,Funners Gonna Fun,36 (0) Mars Attaque,,,186 (0)
187,0,Jolies,46 (0) Mars Attaque,,,187 (0)
188,0,Cold Fx,63 (0) Mars Attaque,,,188 (0)
189,0,Disc Catchers,106 (0) Mars Attaque,,,189 (0)
