Pos,Pts,Team name,Best,2nd best,3rd best,Provenance
86,199, Warriors of Rad,12 (199) Cazenovia,,,
87,199, Gnarwhal,19 (199) Heavyweights,7 (0) NC Reg,,NC
88,194, INfamous,16 (137) Mot. Throwdown,27 (57) Heavyweights,,
89,182, Stonefish,13 (182) Cazenovia,16 (0) NE Reg,,NE
90,166, Youngbloods,14 (166) Cazenovia,11 (0) NE Reg,,NE
91,151, Flying Pig,15 (151) Mot. Throwdown,,,
92,137, Freaks Uv Nature,22 (137) Heavyweights,6 (0) SE Reg,,SE
93,137, Firebird,16 (137) Cazenovia,,,
94,137, Throw'n Together,16 (137) Cazenovia,,,
95,134, Illusion,17 (124) Mot. Throwdown,31 (10) Heavyweights,10 (0) NC Reg,NC
96,119, Mufasa,23 (119) Heavyweights,,,
97,112, MicroMachines,18 (112) Mot. Throwdown,,,
98,102, Mad Men,24 (102) Heavyweights,,,
99,100, Rust Belt War Bonds,19 (100) Mot. Throwdown,,,
100,89, Salvage 3,20 (89) Mot. Throwdown,,,
101,86, H1N1,25 (86) Heavyweights,8 (0) NC Reg,,NC
102,71, yogosbo,26 (71) Heavyweights,,,
103,44, City Park Ultimate,28 (44) Heavyweights,4 (0) NC Reg,,NC
104,0, Six Pack,7 (0) SE Reg,,,SE
105,0, Jollytown Lollipops,9 (0) SE Reg,,,SE
106,0, Jek Factory,13 (0) NE Reg,,,NE
107,0, Prairie Squids,16 (0) SE Reg,,,SE
108,0, HIP,6 (0) SC Reg,,,SC
109,0, Pride Rock,15 (0) NE Reg,,,NE
110,0, Red Circus,9 (0) NE Reg,,,NE
111,0, Rawhide,10 (0) SC Reg,,,SC
112,0, Nun Cups and the Boyz,7 (0) NW Reg,,,NW
113,0, Black Penguins,34 (0) Heavyweights,,,
114,0, Space City Eclipse,7 (0) SC Reg,,,SC
115,0, Bonehorn,9 (0) NC Reg,,,NC
116,0, Mota Legal,8 (0) NW Reg,,,NW
117,0, Southern Hospitality,11 (0) SE Reg,,,SE
118,0, Climax,6 (0) NC Reg,,,NC
119,0, Grantham U,9 (0) MA Reg,,,MA
120,0, Kentucky Flying Circus,8 (0) GL Reg,,,GL
121,0, Queen City Thunder,15 (0) SE Reg,,,SE
122,0, Omen,4 (0) SE Reg,,,SE
123,0, Hippie Mafia,35 (0) Heavyweights,,,
124,0, Red Tide,7 (0) NE Reg,,,NE
125,0, Nomo Fogoho,12 (0) SC Reg,,,SC
126,0, Riverside,9 (0) SC Reg,,,SC
127,0, Shrimp Boat,9 (0) SE Reg,,,SE
128,0, Genny Tall Boys,14 (0) NE Reg,,,NE
129,0, Dark or Light,5 (0) NE Reg,,,NE
130,0, Big Wrench,9 (0) NE Reg,,,NE
131,0, Jockamo,13 (0) SE Reg,,,SE
132,0, Garden State,3 (0) MA Reg,,,MA
133,0, John Doe,4 (0) MA Reg,,,MA
134,0, Grass Knuckles,7 (0) SC Reg,,,SC
135,0, Vicious SharkForce,14 (0) SE Reg,,,SE
136,0, Hynotoad,7 (0) MA Reg,,,MA
137,0, Shinigami,33 (0) Heavyweights,,,
138,0, Ironmen,11 (0) SE Reg,,,SE
139,0, South Portland Knife Fight,6 (0) NW Reg,,,NW
